rollno,register_sem,schedule_sem,course_code
1401PH09,4,4,EP208
1401PH09,4,4,EP262
1401PH09,4,4,EP264
1412PH16,4,4,NT512
1412PH16,4,4,PH602
1412PH16,4,4,PH603
1412PH16,4,4,PH592
1201CS35,8,8,CS551
1201CS35,8,8,CS563
1201CS35,8,8,CS568
1201CS35,8,8,CS492
1401CS71,4,4,HS202
1401CS71,4,4,MA225
1401CS71,4,4,CS209
1401CS71,4,4,CS210
1401CS71,4,4,CS259
1401CS71,4,4,CS260
1401CS71,4,4,CS267
1401CS51,4,4,HS202
1401CS51,4,4,MA225
1401CS51,4,4,CS209
1401CS51,4,4,CS210
1401CS51,4,4,CS259
1401CS51,4,4,CS260
1401CS51,4,4,CS267
1301EE45,6,6,EE305
1301EE45,6,6,EE309
1301EE45,6,6,EE311
1301EE45,6,6,EE320
1301EE45,6,6,EE321
1301EE45,6,6,EE341
1301EE45,6,6,EE382
1401CS27,4,4,HS202
1401CS27,4,4,MA225
1401CS27,4,4,CS209
1401CS27,4,4,CS210
1401CS27,4,4,CS259
1401CS27,4,4,CS260
1401CS27,4,4,CS267
1401CS63,4,4,MA225
1401CS63,4,4,CS209
1401CS63,4,4,CS210
1401CS63,4,4,CS259
1401CS63,4,4,CS260
1401CS63,4,4,CS267
1301EE07,6,6,HS302
1301EE07,6,6,EE305
1301EE07,6,6,EE309
1301EE07,6,6,EE311
1301EE07,6,6,EE320
1301EE07,6,6,EE321
1301EE07,6,6,EE341
1301EE07,6,6,EE382
1401CS84,4,4,MA225
1401CS84,4,4,CS209
1401CS84,4,4,CS210
1401CS84,4,4,CS259
1401CS84,4,4,CS260
1401CS84,4,4,CS267
1401CS08,4,4,MA225
1401CS08,4,4,CS209
1401CS08,4,4,CS210
1401CS08,4,4,CS259
1401CS08,4,4,CS260
1401CS08,4,4,CS267
1401CS67,4,4,HS202
1401CS67,4,4,MA225
1401CS67,4,4,CS209
1401CS67,4,4,CS210
1401CS67,4,4,CS259
1401CS67,4,4,CS260
1401CS67,4,4,CS267
1401CS32,4,4,MA225
1401CS32,4,4,CS209
1401CS32,4,4,CS210
1401CS32,4,4,CS259
1401CS32,4,4,CS260
1401CS32,4,4,CS267
1401CS87,4,4,HS212
1401CS87,4,4,MA225
1401CS87,4,4,CS209
1401CS87,4,4,CS210
1401CS87,4,4,CS259
1401CS87,4,4,CS260
1401CS87,4,4,CS267
1401CS02,4,4,MA225
1401CS02,4,4,CS209
1401CS02,4,4,CS210
1401CS02,4,4,CS259
1401CS02,4,4,CS260
1401CS02,4,4,CS267
1401CS40,4,4,MA225
1401CS40,4,4,CS209
1401CS40,4,4,CS210
1401CS40,4,4,CS259
1401CS40,4,4,CS260
1401CS40,4,4,CS267
1401CS04,4,4,MA225
1401CS04,4,4,CS209
1401CS04,4,4,CS210
1401CS04,4,4,CS259
1401CS04,4,4,CS260
1401CS04,4,4,CS267
1301CB61,6,6,CB424
1301CB61,6,6,HS302
1301CB61,6,6,CB302
1301CB61,6,6,CB304
1301CB61,6,6,CB306
1301CB61,6,6,CB308
1301CB61,6,6,CB310
1401CS13,4,4,MA225
1401CS13,4,4,CS209
1401CS13,4,4,CS210
1401CS13,4,4,CS259
1401CS13,4,4,CS260
1401CS13,4,4,CS267
1301CE63,6,6,HS302
1301CE63,6,6,CE314
1301CE63,6,6,CE318
1301CE63,6,6,CE320
1301CE63,6,6,CE324
1301CE63,6,6,CE392
1301CE63,6,6,CE394
1401CS47,4,4,HS202
1401CS47,4,4,MA225
1401CS47,4,4,CS209
1401CS47,4,4,CS210
1401CS47,4,4,CS259
1401CS47,4,4,CS260
1401CS47,4,4,CS267
1401CS45,4,4,MA225
1401CS45,4,4,CS209
1401CS45,4,4,CS210
1401CS45,4,4,CS259
1401CS45,4,4,CS260
1401CS45,4,4,CS267
1401CS41,4,4,MA225
1401CS41,4,4,CS209
1401CS41,4,4,CS210
1401CS41,4,4,CS259
1401CS41,4,4,CS260
1401CS41,4,4,CS267
1201CS36,8,8,CS551
1201CS36,8,8,CS563
1201CS36,8,8,CS568
1201CS36,8,8,CS492
1401CS85,4,4,MA225
1401CS85,4,4,CS209
1401CS85,4,4,CS210
1401CS85,4,4,CS259
1401CS85,4,4,CS260
1401CS85,4,4,CS267
1401AI31,4,4,HS202
1401AI31,4,4,CS249
1401AI31,4,4,CS250
1401AI31,4,4,CS259
1401AI31,4,4,CS260
1401AI31,4,4,CS267
1401AI31,4,4,CS277
1401AI31,4,4,MA225
1511MC27,2,2,CS551
1511MC27,2,2,CS547
1511MC27,2,2,MA502
1511MC27,2,2,MA504
1511MC27,2,2,CS514
1511MC27,2,2,MC504
1511MC27,2,2,MC594
1401CS20,4,4,HS212
1401CS20,4,4,MA225
1401CS20,4,4,CS209
1401CS20,4,4,CS210
1401CS20,4,4,CS259
1401CS20,4,4,CS260
1401CS20,4,4,CS267
1401CS28,4,4,HS202
1401CS28,4,4,MA225
1401CS28,4,4,CS209
1401CS28,4,4,CS210
1401CS28,4,4,CS259
1401CS28,4,4,CS260
1401CS28,4,4,CS267
1301CS01,6,6,CS392
1301CS01,6,6,CS341
1301CS01,6,6,CS342
1301CS01,6,6,CS358
1301CS01,6,6,CS359
1301CS01,6,6,CS399
1401CS81,4,4,HS212
1401CS81,4,4,MA225
1401CS81,4,4,CS209
1401CS81,4,4,CS210
1401CS81,4,4,CS259
1401CS81,4,4,CS260
1401CS81,4,4,CS267
1401CS26,4,4,HS202
1401CS26,4,4,MA225
1401CS26,4,4,CS209
1401CS26,4,4,CS210
1401CS26,4,4,CS259
1401CS26,4,4,CS260
1401CS26,4,4,CS267
1411MT05,4,4,MH604
1401EE98,4,4,HS212
1401EE98,4,4,CS244
1401EE98,4,4,EE203
1401EE98,4,4,EE204
1401EE98,4,4,EE205
1401EE98,4,4,EE280
1401EE98,4,4,EE281
1401EE98,4,4,MA225
1411MT13,4,4,MH604
1401CS70,4,4,HS202
1401CS70,4,4,MA225
1401CS70,4,4,CS209
1401CS70,4,4,CS210
1401CS70,4,4,CS259
1401CS70,4,4,CS260
1401CS70,4,4,CS267
1401CS09,4,4,HS202
1401CS09,4,4,MA225
1401CS09,4,4,CS209
1401CS09,4,4,CS210
1401CS09,4,4,CS259
1401CS09,4,4,CS260
1401CS09,4,4,CS267
1401CS75,4,4,MA225
1401CS75,4,4,CS209
1401CS75,4,4,CS210
1401CS75,4,4,CS259
1401CS75,4,4,CS260
1401CS75,4,4,CS267
1401EE19,4,4,CS244
1401EE19,4,4,EE203
1401EE19,4,4,EE204
1401EE19,4,4,EE205
1401EE19,4,4,EE280
1401EE19,4,4,EE281
1401EE19,4,4,MA225
1401CS01,4,4,HS202
1401CS01,4,4,MA225
1401CS01,4,4,CS209
1401CS01,4,4,CS210
1401CS01,4,4,CS259
1401CS01,4,4,CS260
1401CS01,4,4,CS267
1401CS38,4,4,HS202
1401CS38,4,4,MA225
1401CS38,4,4,CS209
1401CS38,4,4,CS210
1401CS38,4,4,CS259
1401CS38,4,4,CS260
1401CS38,4,4,CS267
1511CS05,2,2,CS551
1511CS05,2,2,CS563
1511CS05,2,2,CS568
1511CS05,2,2,CS511
1511CS05,2,2,CS514
1511CS05,2,2,CS515
1511CS05,2,2,CS592
1511CS10,2,2,CS551
1511CS10,2,2,CS563
1511CS10,2,2,CS568
1511CS10,2,2,CS511
1511CS10,2,2,CS514
1511CS10,2,2,CS515
1511CS10,2,2,CS592
1512PH13,2,2,PH420
1512PH13,2,2,PH422
1512PH13,2,2,PH424
1512PH13,2,2,PH426
1512PH13,2,2,PH428
1512PH13,2,2,PH440
1511CS07,2,2,CS551
1511CS07,2,2,CS563
1511CS07,2,2,CS568
1511CS07,2,2,CS511
1511CS07,2,2,CS514
1511CS07,2,2,CS515
1511CS07,2,2,CS592
1511CS29,2,2,CS563
1511CS29,2,2,CS551
1511CS29,2,2,CS568
1511CS29,2,2,CS511
1511CS29,2,2,CS514
1511CS29,2,2,CS515
1511CS29,2,2,CS592
1511MC17,2,2,CS551
1511MC17,2,2,CS568
1511MC17,2,2,MA502
1511MC17,2,2,MA504
1511MC17,2,2,CS514
1511MC17,2,2,MC504
1511MC17,2,2,MC594
1511CS26,2,2,CS551
1511CS26,2,2,CS568
1511CS26,2,2,CS563
1511CS26,2,2,CS511
1511CS26,2,2,CS514
1511CS26,2,2,CS515
1511CS26,2,2,CS592
1511CS19,2,2,CS551
1511CS19,2,2,CS563
1511CS19,2,2,CS568
1511CS19,2,2,CS511
1511CS19,2,2,CS514
1511CS19,2,2,CS515
1511CS19,2,2,CS592
1511CS12,2,2,CS551
1511CS12,2,2,CS563
1511CS12,2,2,CS568
1511CS12,2,2,CS511
1511CS12,2,2,CS514
1511CS12,2,2,CS515
1511CS12,2,2,CS592
1511CS34,2,2,CS551
1511CS34,2,2,CS563
1511CS34,2,2,CS568
1511CS34,2,2,CS511
1511CS34,2,2,CS514
1511CS34,2,2,CS515
1511CS34,2,2,CS592
1511CS27,2,2,CS551
1511CS27,2,2,CS563
1511CS27,2,2,CS568
1511CS27,2,2,CS511
1511CS27,2,2,CS514
1511CS27,2,2,CS515
1511CS27,2,2,CS592
1511CS30,2,2,CS551
1511CS30,2,2,CS563
1511CS30,2,2,CS568
1511CS30,2,2,CS511
1511CS30,2,2,CS514
1511CS30,2,2,CS515
1511CS30,2,2,CS592
1312MA16,4,4,MA541
1312MA16,4,4,MA536
1312MA16,4,4,MA504
1312MA16,4,4,MA522
1312MA16,4,4,MA524
1312MA16,4,4,MA592
1511CE20,2,2,CE568
1511CE20,2,2,CE532
1511CE20,2,2,CE570
1511CE20,2,2,CE545
1511CE20,2,2,CE512
1511CE20,2,2,CE590
1511CE20,2,2,CE598
1301EE32,6,6,HS341
1301EE32,6,6,EE305
1301EE32,6,6,EE309
1301EE32,6,6,EE311
1301EE32,6,6,EE320
1301EE32,6,6,EE321
1301EE32,6,6,EE341
1301EE32,6,6,EE382
1511CS11,2,2,CS551
1511CS11,2,2,CS563
1511CS11,2,2,CS568
1511CS11,2,2,CS511
1511CS11,2,2,CS514
1511CS11,2,2,CS515
1511CS11,2,2,CS592
1511CS28,2,2,CS551
1511CS28,2,2,CS563
1511CS28,2,2,CS568
1511CS28,2,2,CS511
1511CS28,2,2,CS514
1511CS28,2,2,CS515
1511CS28,2,2,CS592
1511CS15,2,2,CS551
1511CS15,2,2,CS563
1511CS15,2,2,CS568
1511CS15,2,2,CS511
1511CS15,2,2,CS514
1511CS15,2,2,CS515
1511CS15,2,2,CS592
1511CS14,2,2,CS551
1511CS14,2,2,CS563
1511CS14,2,2,CS568
1511CS14,2,2,CS511
1511CS14,2,2,CS514
1511CS14,2,2,CS515
1511CS14,2,2,CS592
1411MC06,4,4,MA604
1411MC02,4,4,MA604
1301CE34,6,6,CE314
1301CE34,6,6,CE318
1301CE34,6,6,CE320
1301CE34,6,6,CE324
1301CE34,6,6,CE392
1301CE34,6,6,CE394
1511CS03,2,2,CS551
1511CS03,2,2,CS563
1511CS03,2,2,CS568
1511CS03,2,2,CS511
